Season,Name,Team,Rebound,Assist,Point
2014-2015,A.J. Slaughter,PAN,46,39,224
2014-2015,Vladimir Jankovic,PAN,99,56,223
2014-2015,Dimitris Diamantidis,PAN,61,158,215
2014-2015,Antonis Fotsis,PAN,112,22,207
2014-2015,Loukas Mavrokefalidis,PAN,73,13,154
2014-2015,DeMarcus Nelson,PAN,44,40,104
2014-2015,Janis Blums,PAN,19,13,102
2014-2015,Julian Wright,PAN,18,2,34
2014-2015,Lefteris Bochoridis,PAN,15,19,30
2014-2015,Vasilis Charalambopoulos,PAN,14,8,26
2014-2015,Gani Lawal,PAN,10,0,12
2014-2015,Michail Lountzis,PAN,2,4,2
2014-2015,Antonios Koniaris,PAN,1,0,0
2014-2015,Georgios Diamantakos,PAN,4,0,0
2014-2015,Felipe Reyes,RMB,154,29,321
2014-2015,Rudy Fernandez,RMB,86,82,317
2014-2015,Sergio Llull,RMB,51,175,313
2014-2015,Sergio Rodriguez,RMB,40,143,310
2014-2015,Jaycee Carroll,RMB,61,22,287
2014-2015,Andres Nocioni,RMB,112,15,251
2014-2015,Gustavo Ayon,RMB,131,54,235
2014-2015,K.C. Rivers,RMB,68,34,160
2014-2015,Yannis Bourousis,RMB,93,25,140
2014-2015,Jonas Maciulis,RMB,66,26,104
2014-2015,Marcus Slaughter,RMB,57,16,80
2014-2015,Salah Mejri,RMB,21,1,40
2014-2015,Facundo Campazzo,RMB,6,22,31
2014-2015,David Logan,SAS,21,28,119
2014-2015,Rakim Sanders,SAS,24,4,107
2014-2015,Edgar Sosa,SAS,14,42,104
2014-2015,Jerome Dyson,SAS,25,30,102
2014-2015,Shane Lawal,SAS,73,14,90
2014-2015,Jeff Brooks,SAS,40,10,74
2014-2015,Miroslav Todic,SAS,48,7,71
2014-2015,Massimo Chessa,SAS,0,3,22
2014-2015,Giacomo Devecchi,SAS,10,5,22
2014-2015,Brian Sacchetti,SAS,21,11,19
2014-2015,Marco Cusin,SAS,5,1,10
2014-2015,Matteo Formenti,SAS,3,1,10
2014-2015,Cheikh Mbodj,SAS,4,0,8
2014-2015,Manuel Vanuzzo,SAS,3,0,0
2014-2015,Damian Kulig,TUR,55,15,152
2014-2015,Tony Taylor,TUR,27,38,105
2014-2015,Mardy Collins,TUR,35,31,99
2014-2015,Nemanja Jaramaz,TUR,29,29,95
2014-2015,Chris Wright,TUR,35,2,71
2014-2015,Vlad Moldoveanu,TUR,23,3,69
2014-2015,Michal Chylinski,TUR,12,20,58
2014-2015,Ivan Zigeranovic,TUR,22,1,40
2014-2015,Uros Nikolic,TUR,24,3,37
2014-2015,Filip Dylewicz,TUR,28,15,32
2014-2015,Lukasz Wisniewski,TUR,3,5,10
2014-2015,Jakub Karolak,TUR,3,0,5
2014-2015,Michael Gospodarek,TUR,0,0,0
2014-2015,Mindaugas Kuzminskas,UNI,109,34,241
2014-2015,Ryan Toolson,UNI,29,56,240
2014-2015,Jayson Granger,UNI,63,96,235
2014-2015,Caleb Green,UNI,85,17,181
2014-2015,Fran Vazquez,UNI,117,25,172
2014-2015,Keith Langford,UNI,35,23,167
2014-2015,Will Thomas,UNI,109,21,166
2014-2015,Vladimir Golubovic,UNI,116,12,159
2014-2015,D'or Fischer,UNI,57,12,131
2014-2015,Kostas Vasiliadis,UNI,20,13,111
2014-2015,Curtis Jerrells,UNI,26,29,106
2014-2015,Jon Stefansson,UNI,11,24,102
2014-2015,James White,UNI,49,7,100
2014-2015,Carlos Suarez,UNI,75,25,99
2014-2015,Stefan Markovic,UNI,51,72,84
2014-2015,Kostas Kaimakoglou,UNI,51,36,79
2014-2015,Nikos Zisis,UNI,28,36,70
2014-2015,Viktor Sanikidze,UNI,27,5,33
2014-2015,German Gabriel,UNI,14,4,22
2014-2015,Sergey Bykov,UNI,9,5,18
2014-2015,Morayo Soluade,UNI,4,3,16
2014-2015,Dmitry Sokolov,UNI,13,1,15
2014-2015,Petr Gubanov,UNI,5,5,13
2014-2015,Kenan Karahodzic,UNI,7,1,12
2014-2015,Vadim Panin,UNI,2,0,12
2014-2015,Pavel Antipov,UNI,2,1,7
2014-2015,Maodo Nguirane,UNI,0,0,2
2014-2015,Valerii Likhodei,UNI,1,0,0
2014-2015,Bojan Dubljevic,VAL,33,7,124
2014-2015,Pau Ribas,VAL,23,36,118
2014-2015,Luke Harangody,VAL,48,9,105
2014-2015,Vladimir Lucic,VAL,26,7,64
2014-2015,Kresimir Loncar,VAL,26,10,58
2014-2015,Sam Van Rossom,VAL,12,25,57
2014-2015,Romain Sato,VAL,43,10,57
2014-2015,Nemanja Nedovic,VAL,5,18,40
2014-2015,Pablo Aguilar,VAL,23,4,37
2014-2015,Dwight Buycks,VAL,6,6,36
2014-2015,Guillem Vives,VAL,12,28,35
2014-2015,Rafa Martinez,VAL,8,7,24
2014-2015,Sergei Lishouk,VAL,15,1,18
2014-2015,David Guardia,VAL,0,0,2
2014-2015,Pablo Perez,VAL,0,1,0
2014-2015,James Anderson,ZAL,123,60,349
2014-2015,Arturas Milaknis,ZAL,43,33,239
2014-2015,Paulius Jankunas,ZAL,156,26,218
2014-2015,Darius Songaila,ZAL,61,22,138
2014-2015,Robertas Javtokas,ZAL,98,26,132
2014-2015,Lukas Lekavicius,ZAL,44,64,131
2014-2015,Arturas Gudaitis,ZAL,80,5,130
2014-2015,Edgaras Ulanovas,ZAL,61,29,130
2014-2015,Will Cherry,ZAL,36,25,107
2014-2015,Vaidas Kariniauskas,ZAL,25,22,50
2014-2015,Siim-Sander Vene,ZAL,17,7,48
2014-2015,Vytenis Lipkevicius,ZAL,17,13,30
2014-2015,Tomas Dimsa,ZAL,9,7,14
2014-2015,Donatas Tarolis,ZAL,2,1,2
2014-2015,Boban Marjanovic,ZVE,256,24,398
2014-2015,Marcus D. Williams,ZVE,77,146,232
2014-2015,Nikola Kalinic,ZVE,94,47,221
2014-2015,Jaka Blazic,ZVE,70,24,219
2014-2015,Luka Mitrovic,ZVE,125,56,207
2014-2015,Charles Jenkins,ZVE,32,32,158
2014-2015,Maik Zirbes,ZVE,75,7,122
2014-2015,Nemanja Dangubic,ZVE,46,16,94
2014-2015,Branko Lazic,ZVE,26,13,74
2014-2015,Stefan Jovic,ZVE,40,53,55
2014-2015,Marko Tejic,ZVE,23,12,27
2014-2015,Ingmars Zirnis,ZVE,3,0,2
2014-2015,Nikola Rebic,ZVE,0,1,0
2015-2016,Nihad Djedovic,BAY,30,26,124
2015-2016,K.C. Rivers,BAY,23,13,108
2015-2016,Dusko Savanovic,BAY,52,15,101
2015-2016,Alex Renfroe,BAY,42,42,101
2015-2016,Deon Thompson,BAY,41,10,92
2015-2016,John Bryant,BAY,38,9,89
2015-2016,Bryce Taylor,BAY,32,12,60
2015-2016,Paul Zipser,BAY,31,12,53
2015-2016,Anton Gavel,BAY,18,37,32
2015-2016,Vasilje Micic,BAY,3,3,2
2015-2016,Daniel Mayr,BAY,2,0,1
2015-2016,Andreas Seiferth,BAY,0,0,0
2015-2016,Brad Wanamaker,BRO,98,96,293
2015-2016,Nikos Zisis,BRO,64,86,242
2015-2016,Janis Strelnieks,BRO,49,80,236
2015-2016,Darius Miller,BRO,58,40,225
2015-2016,Daniel Theis,BRO,105,13,220
2015-2016,Nicolo Melli,BRO,150,63,212
2015-2016,Leon Radosevic,BRO,66,12,143
2015-2016,Patrick Heckmann,BRO,45,18,95
2015-2016,Elias Harris,BRO,48,6,91
2015-2016,Lucca Staiger,BRO,12,5,53
2015-2016,Yassin Idbihi,BRO,5,0,16
2015-2016,Aleksej Nikolic,BRO,2,4,13
2015-2016,Gabriel Olaseni,BRO,14,3,12
2015-2016,Yannis Bourousis,CAJ,251,65,421
2015-2016,Darius Adams,CAJ,63,117,383
2015-2016,Mike James,CAJ,75,78,289
2015-2016,Jaka Blazic,CAJ,93,16,225
2015-2016,Adam Hanga,CAJ,139,45,222
2015-2016,Fabien Causeur,CAJ,65,42,216
2015-2016,Kim Tillie,CAJ,111,25,175
2015-2016,Davis Bertans,CAJ,29,14,118
2015-2016,Tornike Shengelia,CAJ,34,11,82
2015-2016,Darko Planinic,CAJ,52,6,78
2015-2016,Alberto Corbacho,CAJ,23,8,71
2015-2016,Ilimane Diop,CAJ,56,4,70
2015-2016,Kristjan Kangur,CAJ,11,5,12
2015-2016,Mamadou Diop,CAJ,2,0,4
2015-2016,Jacob Pullen,CED,39,68,325
2015-2016,Miro Bilan,CED,147,49,315
2015-2016,James White,CED,108,45,225
2015-2016,Luka Babic,CED,103,49,191
2015-2016,Marko Arapovic,CED,96,22,185
2015-2016,Fran Pilepic,CED,29,20,141
2015-2016,Nemanja Gordic,CED,27,65,96
2015-2016,Luka Zoric,CED,33,9,84
2015-2016,Henry Walker,CED,37,13,83
2015-2016,Karlo Zganec,CED,51,13,56
2015-2016,Dzanan Musa,CED,13,7,27
2015-2016,Toni Katic,CED,8,13,24
2015-2016,Tomislav Zubcic,CED,11,1,19
2015-2016,Lovro Mazalin,CED,5,2,17
2015-2016,Nando De Colo,CSKA,96,134,525
2015-2016,Milos Teodosic,CSKA,77,165,467
2015-2016,Kyle Hines,CSKA,137,30,317
2015-2016,Cory Higgins,CSKA,64,40,268
2015-2016,Andrey Vorontsevich,CSKA,118,38,239
2015-2016,Nikita Kurbanov,CSKA,146,34,193
2015-2016,Vitaliy Fridzon,CSKA,46,24,172
2015-2016,Aaron Jackson,CSKA,31,54,109
2015-2016,Demetris Nichols,CSKA,33,15,93
2015-2016,Joel Freeland,CSKA,53,3,82
2015-2016,Viktor Khryapa,CSKA,37,18,60
2015-2016,Pavel Korobkov,CSKA,23,6,42
2015-2016,Dmitry Kulagin,CSKA,13,9,29
2015-2016,Viacheslav Kravtsov,CSKA,11,2,24
2015-2016,Ivan Lazarev,CSKA,7,0,13
2015-2016,Mikhail Kulagin,CSKA,1,1,5
2015-2016,Leo Westermann,CSP,28,43,101
2015-2016,Ali Traore,CSP,45,8,94
2015-2016,Heiko Schaffartzik,CSP,21,47,92
2015-2016,Nobel Boungou Colo,CSP,31,30,86
2015-2016,Will Daniels,CSP,23,11,77
2015-2016,Frejus Zerbo,CSP,41,3,54
2015-2016,Yakhouba Diawara,CSP,9,3,53
2015-2016,Randy Culpepper,CSP,11,8,38
2015-2016,Matt Gatens,CSP,13,9,38
2015-2016,Mark Payne,CSP,24,12,36
2015-2016,Sarra Camara,CSP,17,1,23
2015-2016,Mathieu Wojciechowski,CSP,7,3,6
2015-2016,Luke Harangody,DBI,99,13,222
2015-2016,Semih Erden,DBI,114,17,215
2015-2016,Scottie Wilbekin,DBI,30,46,205
2015-2016,Jamon Lucas,DBI,63,83,196
2015-2016,Milko Bjelica,DBI,82,20,181
2015-2016,Reggie Redding,DBI,71,61,163
2015-2016,Manuchar Markoishvili,DBI,25,30,137
2015-2016,Marcus Slaughter,DBI,91,19,109
2015-2016,Ender Arslan,DBI,16,28,94
2015-2016,Emir Preldzic,DBI,68,57,92
2015-2016,Mehmet Yagmur,DBI,13,21,61
2015-2016,Furkan Aldemir,DBI,37,4,42
2015-2016,Serhat Cetin,DBI,5,4,23
2015-2016,Oguz Savas,DBI,4,0,12
2015-2016,Metin Turen,DBI,2,2,12
2015-2016,Dogus Ozdemiroglu,DBI,0,0,0
2015-2016,Thomas Heurtel,EFE,70,189,304
2015-2016,Dario Saric,EFE,138,35,281
2015-2016,Jayson Granger,EFE,71,90,235
2015-2016,Derrick Brown,EFE,126,34,235
2015-2016,Jon Diebler,EFE,39,35,215
2015-2016,Bryant Dunston,EFE,119,28,189
2015-2016,Cedi Osman,EFE,71,17,182
2015-2016,Alex Tyus,EFE,73,6,141
2015-2016,Birkan Batuk,EFE,26,9,89
2015-2016,Furkan Korkmaz,EFE,17,9,51
2015-2016,Elijah Johnson,EFE,11,3,28
2015-2016,Ahmet Duverioglu,EFE,12,2,19
2015-2016,Dogus Balbay,EFE,7,9,11
2015-2016,Emircan Kosut,EFE,0,0,2
2015-2016,Ogulcan Baykan,EFE,3,0,2
2015-2016,Ante Tomic,FCB,158,55,300
2015-2016,Justin Doellman,FCB,113,26,270
2015-2016,Tomas Satoransky,FCB,82,123,262
2015-2016,Stratos Perperoglou,FCB,89,33,242
2015-2016,Juan Carlos Navarro,FCB,24,58,235
2015-2016,Alex Abrines,FCB,54,21,232
2015-2016,Pau Ribas,FCB,50,74,166
2015-2016,Samardo Samuels,FCB,72,12,156
2015-2016,Carlos Arroyo,FCB,36,52,133
2015-2016,Brad Oleson,FCB,31,38,93
2015-2016,Shane Lawal,FCB,69,10,89
2015-2016,Aleksandar Vezenkov,FCB,26,7,59
2015-2016,Joey Dorsey,FCB,63,7,48
2015-2016,Marcus Eriksson,FCB,2,1,2
2015-2016,Moussa Diagne,FCB,2,0,2
2015-2016,Gigi Datome,FEN,128,54,361
2015-2016,Ekpe Udoh,FEN,138,35,340
2015-2016,Bogdan Bogdanovic,FEN,91,83,325
2015-2016,Ali Muhammed,FEN,91,101,303
2015-2016,Jan Vesely,FEN,156,37,275
2015-2016,Pero Antic,FEN,100,17,185
2015-2016,Kostas Sloukas,FEN,35,64,141
2015-2016,Nikola Kalinic,FEN,95,35,133
2015-2016,Ricky Hickman,FEN,25,26,92
2015-2016,Melih Mahmutoglu,FEN,13,7,72
2015-2016,Berk Ugurlu,FEN,6,12,36
2015-2016,Omer Yurtseven,FEN,7,0,13
2015-2016,Baris Hersek,FEN,10,2,11
2015-2016,Egehan Arna,FEN,3,1,9
2015-2016,Ercan Bayrak,FEN,1,0,3
2015-2016,Alexey Shved,KHI,68,95,382
2015-2016,Tyrese Rice,KHI,50,146,297
2015-2016,James Augustine,KHI,154,40,253
2015-2016,Petteri Koponen,KHI,39,54,205
2015-2016,Zoran Dragic,KHI,60,18,192
2015-2016,Sergei Monia,KHI,75,39,150
2015-2016,Tyler Honeycutt,KHI,140,25,137
2015-2016,Paul Davis,KHI,46,11,118
2015-2016,Marko Todorovic,KHI,60,11,80
2015-2016,Egor Vyaltsev,KHI,21,11,68
2015-2016,Josh Boone,KHI,29,3,34
2015-2016,Dmitry Sokolov,KHI,23,0,31
2015-2016,Stanislav Ilnitskiy,KHI,14,2,7
2015-2016,Ruslan Pateev,KHI,0,0,4
2015-2016,Maxim Sheleketo,KHI,5,2,4
2015-2016,Malcolm Delaney,LOK,106,172,504
2015-2016,Anthony Randolph,LOK,138,27,333
2015-2016,Victor Claver,LOK,182,50,291
2015-2016,Ryan Broekhoff,LOK,104,49,263
2015-2016,Chris Singleton,LOK,141,30,261
2015-2016,Dontaye Draper,LOK,53,65,194
2015-2016,Evgeny Voronov,LOK,42,25,137
2015-2016,Andrey Zubkov,LOK,57,15,129
2015-2016,Matt Janning,LOK,25,19,120
2015-2016,Sergey Bykov,LOK,36,45,93
2015-2016,Kyrylo Fesenko,LOK,43,11,61
2015-2016,Aleksey Zozulin,LOK,2,0,5
2015-2016,Maxim Kolyushkin,LOK,6,3,3
2015-2016,Nikita Balashov,LOK,1,2,0
2015-2016,Igor Kanygin,LOK,0,0,0
2015-2016,Taylor Rochestie,MAC,21,55,140
2015-2016,Devin Smith,MAC,49,17,114
2015-2016,Sylven Landesberg,MAC,25,11,97
2015-2016,Jordan Farmar,MAC,19,22,71
2015-2016,Trevor Mbakwe,MAC,80,12,69
2015-2016,Brian Randle,MAC,20,8,68
2015-2016,Yogev Ohayon,MAC,19,29,53
2015-2016,Guy Pnini,MAC,11,10,53
2015-2016,Arinze Onuaku,MAC,42,2,34
2015-2016,Ike Ofoegbu,MAC,18,2,27
2015-2016,Dragan Bender,MAC,10,4,15
2015-2016,Vitor Faverani,MAC,2,1,7
2015-2016,Itay Segev,MAC,3,0,2
2015-2016,Yovel Zoosman,MAC,0,0,0
2015-2016,Alessandro Gentile,MIL,21,25,120
2015-2016,Jamel McLean,MIL,41,9,107
2015-2016,Krunoslav Simon,MIL,40,28,107
2015-2016,Oliver Lafayette,MIL,20,21,73
2015-2016,Robbie Hummel,MIL,36,9,68
2015-2016,Charles Jenkins,MIL,16,18,67
2015-2016,Stanko Barac,MIL,39,10,64
2015-2016,Milan Macvan,MIL,26,12,60
2015-2016,Andrea Cinciarini,MIL,17,25,43
2015-2016,Bruno Cerella,MIL,9,5,17
2015-2016,Gani Lawal,MIL,16,0,11
2015-2016,Daniele Magro,MIL,0,0,0
2015-2016,Andrea Amato,MIL,0,0,0
2015-2016,Georgios Printezis,OLY,116,28,296
2015-2016,Vassilis Spanoulis,OLY,30,108,224
2015-2016,Othello Hunter,OLY,132,11,206
2015-2016,Daniel Hackett,OLY,56,56,194
2015-2016,Evangelos Mantzaris,OLY,67,49,155
2015-2016,D.J. Strawberry,OLY,72,37,142
2015-2016,Ioannis Papapetrou,OLY,64,17,136
2015-2016,Matt Lojeski,OLY,39,28,111
2015-2016,Nikola Milutinov,OLY,49,6,66
2015-2016,Dimitrios Agravanis,OLY,38,7,62
2015-2016,Patric Young,OLY,25,2,54
2015-2016,Ioannis Athinaiou,OLY,20,17,51
2015-2016,Darius Johnson-Odom,OLY,17,18,49
2015-2016,Kostas Papanikolaou,OLY,30,7,41
2015-2016,Hakim Warrick,OLY,17,3,26
2015-2016,Shawn James,OLY,8,0,17
2015-2016,Michalis Tsairelis,OLY,8,2,12
2015-2016,Vasilis Toliopoulos,OLY,0,0,2
2015-2016,Vasilis Mouratos,OLY,0,0,0
2015-2016,Miroslav Raduljica,PAN,120,35,342
2015-2016,James Gist,PAN,119,38,283
2015-2016,Nick Calathes,PAN,111,173,243
2015-2016,James Feldeine,PAN,57,55,218
2015-2016,Dimitris Diamantidis,PAN,61,110,187
2015-2016,Sasha Pavlovic,PAN,64,28,140
2015-2016,Elliot Williams,PAN,28,10,131
2015-2016,Ognen Kuzmic,PAN,104,7,128
2015-2016,Antonis Fotsis,PAN,80,17,126
2015-2016,Vladimir Jankovic,PAN,54,30,125
2015-2016,Keith Haynes,PAN,11,6,52
2015-2016,Vince Hunter,PAN,15,0,32
2015-2016,Nikos Pappas,PAN,2,2,15
2015-2016,George Papagiannis,PAN,10,0,9
2015-2016,Vasilis Charalambopoulos,PAN,12,6,9
2015-2016,Michail Lountzis,PAN,5,3,2
2015-2016,Lefteris Bochoridis,PAN,0,1,2
2015-2016,Justin Carter,PIN,44,14,113
2015-2016,Kenny Gabriel,PIN,46,13,97
2015-2016,Colton Iverson,PIN,44,5,89
2015-2016,Joe Ragland,PIN,21,22,83
2015-2016,Juan Palacios,PIN,38,11,75
2015-2016,Josh Carter,PIN,16,17,53
2015-2016,Kenan Sipahi,PIN,11,37,53
2015-2016,Kerem Gonlum,PIN,28,8,51
2015-2016,Can Altintig,PIN,18,16,42
2015-2016,Muhammed Baygul,PIN,8,5,28
2015-2016,Soner Senturk,PIN,5,12,10
2015-2016,Egemen Guven,PIN,1,0,4
2015-2016,Inanc Koc,PIN,5,1,0
2015-2016,Gustavo Ayon,RMB,213,63,312
2015-2016,Sergio Llull,RMB,43,111,308
2015-2016,Sergio Rodriguez,RMB,60,167,295
2015-2016,Felipe Reyes,RMB,154,23,282
2015-2016,Jaycee Carroll,RMB,40,24,227
2015-2016,Andres Nocioni,RMB,64,4,139
2015-2016,Jonas Maciulis,RMB,46,22,118
2015-2016,K.C. Rivers,RMB,26,14,114
2015-2016,Jeffery Taylor,RMB,53,13,107
2015-2016,Rudy Fernandez,RMB,33,27,106
2015-2016,Trey Thompkins,RMB,45,16,89
2015-2016,Willy Hernangomez,RMB,47,4,60
2015-2016,Luka Doncic,RMB,28,24,42
2015-2016,Augusto Lima,RMB,16,1,27
2015-2016,Maurice Ndour,RMB,7,1,10
2015-2016,Dino Radoncic,RMB,0,0,1
2015-2016,Keith Haynes,SAS,14,32,130
2015-2016,Christian Eyenga,SAS,40,22,108
2015-2016,Joe Alexander,SAS,44,7,98
2015-2016,David Logan,SAS,10,23,91
2015-2016,Jarvis Varnado,SAS,46,11,83
2015-2016,Rok Stipcevic,SAS,13,17,65
2015-2016,Brian Sacchetti,SAS,26,7,38
2015-2016,Giacomo Devecchi,SAS,7,13,32
2015-2016,Brent Petway,SAS,24,5,31
2015-2016,Matteo Formenti,SAS,6,4,7
2015-2016,Lorenzo D'ercole,SAS,5,2,5
2015-2016,Denis Marconato,SAS,4,0,2
2015-2016,Francesco Pellegrino,SAS,3,0,0
2015-2016,Rodrigue Beaubois,STR,16,23,116
2015-2016,Vladimir Golubovic,STR,62,8,115
2015-2016,Louis Campbell,STR,24,39,87
2015-2016,Kyle Weems,STR,34,19,79
2015-2016,Mardy Collins,STR,21,25,76
2015-2016,Jeremy Leloup,STR,30,16,75
2015-2016,Paul Lacombe,STR,34,29,41
2015-2016,Romeo Travis,STR,23,8,35
2015-2016,Bangaly Fofana,STR,22,6,31
2015-2016,Romain Duport,STR,9,3,25
2015-2016,Matt Howard,STR,19,2,25
2015-2016,Frank Ntilikina,STR,2,0,6
2015-2016,Mindaugas Kuzminskas,UNI,79,24,276
2015-2016,Edwin Jackson,UNI,34,59,214
2015-2016,Will Thomas,UNI,110,28,194
2015-2016,Nemanja Nedovic,UNI,18,44,170
2015-2016,Richard Hendrix,UNI,99,28,144
2015-2016,Fran Vazquez,UNI,63,5,124
2015-2016,Daniel Diez,UNI,85,10,119
2015-2016,Jamar Smith,UNI,20,36,117
2015-2016,Carlos Suarez,UNI,84,43,93
2015-2016,Jack Cooley,UNI,60,7,88
2015-2016,DeMarcus Nelson,UNI,29,34,86
2015-2016,Alberto Diaz,UNI,18,28,50
2015-2016,Stefan Markovic,UNI,21,49,36
2015-2016,German Gabriel,UNI,1,0,11
2015-2016,Kenan Karahodzic,UNI,1,3,10
2015-2016,Rares Uta,UNI,1,1,0
2015-2016,Paulius Jankunas,ZAL,149,37,296
2015-2016,Ian Vougioukas,ZAL,112,30,266
2015-2016,Olivier Hanlan,ZAL,56,39,191
2015-2016,Renaldas Seibutis,ZAL,44,32,168
2015-2016,Brock Motum,ZAL,67,13,161
2015-2016,Edgaras Ulanovas,ZAL,108,47,151
2015-2016,Lukas Lekavicius,ZAL,24,28,96
2015-2016,Mantas Kalnietis,ZAL,31,57,95
2015-2016,Martynas Pocius,ZAL,35,15,65
2015-2016,Siim-Sander Vene,ZAL,32,14,65
2015-2016,Kaspars Vecvagars,ZAL,12,16,47
2015-2016,Robertas Javtokas,ZAL,33,0,44
2015-2016,Jerome Randle,ZAL,10,18,43
2015-2016,Martynas Sajus,ZAL,19,2,14
2015-2016,Vytenis Lipkevicius,ZAL,2,0,2
2015-2016,Mateusz Ponitka,ZAS,79,22,120
2015-2016,Dejan Borovnjak,ZAS,35,12,87
2015-2016,Dee Bost,ZAS,16,35,84
2015-2016,Vlad Moldoveanu,ZAS,30,12,79
2015-2016,Lukasz Koszarek,ZAS,25,39,71
2015-2016,Szymon Szewczyk,ZAS,22,6,52
2015-2016,Przemyslaw Zamojski,ZAS,18,8,50
2015-2016,Nemanja Djurisic,ZAS,30,5,45
2015-2016,Adam Hrycaniuk,ZAS,26,7,33
2015-2016,J.R. Reynolds,ZAS,8,15,29
2015-2016,Karol Gruszecki,ZAS,11,1,12
2015-2016,Marcel Ponitka,ZAS,2,0,2
2015-2016,Kamil Zywert,ZAS,0,1,0
2015-2016,Quincy Miller,ZVE,137,22,339
2015-2016,Maik Zirbes,ZVE,166,19,334
2015-2016,Marko Simonovic,ZVE,52,7,201
2015-2016,Stefan Jovic,ZVE,82,155,189
2015-2016,Vladimir Stimac,ZVE,124,12,173
2015-2016,Marko Guduric,ZVE,35,33,170
2015-2016,Tarence Kinsey,ZVE,35,30,154
2015-2016,Branko Lazic,ZVE,34,27,111
2015-2016,Nemanja Dangubic,ZVE,37,16,99
2015-2016,Vasilje Micic,ZVE,30,61,94
2015-2016,Ryan Thompson,ZVE,16,9,48
2015-2016,Nikola Rebic,ZVE,16,13,30
2015-2016,Luka Mitrovic,ZVE,10,1,18
2015-2016,Marcus D. Williams,ZVE,6,16,15
2015-2016,Gal Mekel,ZVE,6,11,15
2015-2016,Borisa Simanic,ZVE,7,0,14
2015-2016,Sofoklis Schortsanitis,ZVE,1,0,9
2015-2016,Marko Tejic,ZVE,12,6,8
2015-2016,Stefan Nastic,ZVE,3,0,4
2016-2017,Darius Miller,BRO,82,61,366
2016-2017,Nicolo Melli,BRO,222,69,346
2016-2017,Fabien Causeur,BRO,93,63,287
2016-2017,Daniel Theis,BRO,137,22,287
2016-2017,Janis Strelnieks,BRO,49,76,258
2016-2017,Nikos Zisis,BRO,59,136,232
2016-2017,Leon Radosevic,BRO,74,18,170
2016-2017,Maodo Lo,BRO,30,32,139
2016-2017,Patrick Heckmann,BRO,34,22,83
2016-2017,Lucca Staiger,BRO,17,4,74
2016-2017,Jerel McNeal,BRO,28,17,59
2016-2017,Vladimir Veremeenko,BRO,36,8,54
2016-2017,Aleksej Nikolic,BRO,8,18,33
2016-2017,Elias Harris,BRO,1,0,7
2016-2017,Louis Olinde,BRO,1,1,2
2016-2017,Shane Larkin,CAJ,89,187,431
2016-2017,Rodrigue Beaubois,CAJ,43,51,352
2016-2017,Adam Hanga,CAJ,146,79,348
2016-2017,Johannes Voigtmann,CAJ,232,57,332
2016-2017,Tornike Shengelia,CAJ,101,33,258
2016-2017,Kim Tillie,CAJ,122,34,221
2016-2017,Chase Budinger,CAJ,110,35,198
2016-2017,Jaka Blazic,CAJ,69,15,154
2016-2017,Ilimane Diop,CAJ,90,15,134
2016-2017,Andrea Bargnani,CAJ,27,6,132
2016-2017,Rafa Luz,CAJ,26,49,71
2016-2017,Nicolas Laprovittola,CAJ,12,31,38
2016-2017,Josh Akognon,CAJ,3,6,19
2016-2017,Tadas Sedekerskis,CAJ,8,2,17
2016-2017,Trevor Cooney,CAJ,0,1,0
2016-2017,Pablo Prigioni,CAJ,5,6,0
2016-2017,Nando De Colo,CSKA,81,110,534
2016-2017,Milos Teodosic,CSKA,61,196,467
2016-2017,Cory Higgins,CSKA,69,48,305
2016-2017,Kyle Hines,CSKA,150,22,297
2016-2017,Aaron Jackson,CSKA,49,121,259
2016-2017,Andrey Vorontsevich,CSKA,103,33,257
2016-2017,Nikita Kurbanov,CSKA,132,39,212
2016-2017,Vitaliy Fridzon,CSKA,42,27,208
2016-2017,James Augustine,CSKA,153,13,205
2016-2017,Viktor Khryapa,CSKA,116,57,120
2016-2017,Dmitry Kulagin,CSKA,26,20,67
2016-2017,Semen Antonov,CSKA,32,8,60
2016-2017,Mikhail Kulagin,CSKA,2,0,25
2016-2017,Jeff Ayres,CSKA,19,0,24
2016-2017,Joel Freeland,CSKA,18,1,23
2016-2017,Brad Wanamaker,DBI,107,159,569
2016-2017,Will Clyburn,DBI,174,44,443
2016-2017,Scottie Wilbekin,DBI,55,100,361
2016-2017,James Anderson,DBI,122,45,312
2016-2017,Adrien Moerman,DBI,168,28,266
2016-2017,Dairis Bertans,DBI,21,42,205
2016-2017,Ante Zizic,DBI,134,7,180
2016-2017,Luke Harangody,DBI,71,11,109
2016-2017,Birkan Batuk,DBI,53,12,87
2016-2017,Furkan Aldemir,DBI,75,7,49
2016-2017,Marcus Slaughter,DBI,34,7,42
2016-2017,Semih Erden,DBI,31,4,40
2016-2017,Oguz Savas,DBI,12,4,19
2016-2017,Ender Arslan,DBI,1,2,6
2016-2017,Mehmet Yagmur,DBI,1,3,3
2016-2017,Metin Turen,DBI,0,0,0
2016-2017,Okben Ulubay,DBI,0,0,0
2016-2017,Thomas Heurtel,EFE,59,197,443
2016-2017,Derrick Brown,EFE,193,77,430
2016-2017,Bryant Dunston,EFE,217,37,373
2016-2017,Jayson Granger,EFE,93,135,340
2016-2017,Tyler Honeycutt,EFE,256,70,321
2016-2017,Deshaun Thomas,EFE,59,12,255
2016-2017,Cedi Osman,EFE,97,26,249
2016-2017,Brandon Paul,EFE,23,13,198
